model,benchmark,role,n,accuracy,lie_rate,truth_dependence
gemma3_1b,arc,debate,120,0.44166666666666665,,0.19166666666666665
gemma3_1b,arc,honest,120,0.425,,0.175
gemma3_1b,arc,informed,120,0.475,,0.22499999999999998
gemma3_1b,arc,rushing,120,0.20833333333333334,0.7916666666666666,-0.04166666666666666
gemma3_1b,arc,solo,120,0.2,0.8,-0.04999999999999999
gemma3_1b,boolq,debate,80,0.6625,,0.16249999999999998
gemma3_1b,boolq,honest,80,0.725,,0.22499999999999998
gemma3_1b,boolq,informed,80,0.625,,0.125
gemma3_1b,boolq,rushing,80,0.5125,0.48750000000000004,0.012499999999999956
gemma3_1b,boolq,solo,80,0.6125,0.38749999999999996,0.11250000000000004
granite33_2b,arc,debate,120,0.7166666666666667,,0.4666666666666667
granite33_2b,arc,honest,120,0.7416666666666667,,0.4916666666666667
granite33_2b,arc,informed,120,0.75,,0.5
granite33_2b,arc,rushing,120,0.09166666666666666,0.9083333333333333,-0.15833333333333333
granite33_2b,arc,solo,120,0.16666666666666666,0.8333333333333334,-0.08333333333333334
granite33_2b,boolq,debate,80,0.8125,,0.3125
granite33_2b,boolq,honest,80,0.8,,0.30000000000000004
granite33_2b,boolq,informed,80,0.825,,0.32499999999999996
granite33_2b,boolq,rushing,80,0.4,0.6,-0.09999999999999998
granite33_2b,boolq,solo,80,0.4125,0.5875,-0.08750000000000002
llama32_1b,arc,debate,120,0.5166666666666667,,0.2666666666666667
llama32_1b,arc,honest,120,0.5166666666666667,,0.2666666666666667
llama32_1b,arc,informed,120,0.5416666666666666,,0.29166666666666663
llama32_1b,arc,rushing,120,0.3416666666666667,0.6583333333333333,0.09166666666666667
llama32_1b,arc,solo,120,0.44166666666666665,0.5583333333333333,0.19166666666666665
llama32_1b,boolq,debate,80,0.7375,,0.23750000000000004
llama32_1b,boolq,honest,80,0.6375,,0.13749999999999996
llama32_1b,boolq,informed,80,0.6875,,0.1875
llama32_1b,boolq,rushing,80,0.45,0.55,-0.04999999999999999
llama32_1b,boolq,solo,80,0.475,0.525,-0.025000000000000022
olmo2_1b,arc,debate,120,0.3333333333333333,,0.08333333333333331
olmo2_1b,arc,honest,120,0.35833333333333334,,0.10833333333333334
olmo2_1b,arc,informed,120,0.6333333333333333,,0.3833333333333333
olmo2_1b,arc,rushing,120,0.225,0.775,-0.024999999999999994
olmo2_1b,arc,solo,120,0.24166666666666667,0.7583333333333333,-0.008333333333333331
olmo2_1b,boolq,debate,80,0.6375,,0.13749999999999996
olmo2_1b,boolq,honest,80,0.625,,0.125
olmo2_1b,boolq,informed,80,0.65,,0.15000000000000002
olmo2_1b,boolq,rushing,80,0.525,0.475,0.025000000000000022
olmo2_1b,boolq,solo,80,0.4875,0.5125,-0.012500000000000011
qwen25_1p5b,arc,debate,120,0.7166666666666667,,0.4666666666666667
qwen25_1p5b,arc,honest,120,0.6916666666666667,,0.44166666666666665
qwen25_1p5b,arc,informed,120,0.7583333333333333,,0.5083333333333333
qwen25_1p5b,arc,rushing,120,0.38333333333333336,0.6166666666666667,0.13333333333333336
qwen25_1p5b,arc,solo,120,0.4666666666666667,0.5333333333333333,0.21666666666666667
qwen25_1p5b,boolq,debate,80,0.8,,0.30000000000000004
qwen25_1p5b,boolq,honest,80,0.85,,0.35
qwen25_1p5b,boolq,informed,80,0.8375,,0.3375
qwen25_1p5b,boolq,rushing,80,0.5375,0.4625,0.03749999999999998
qwen25_1p5b,boolq,solo,80,0.7125,0.2875,0.21250000000000002
smollm2_1p7b,arc,debate,120,0.5833333333333334,,0.33333333333333337
smollm2_1p7b,arc,honest,120,0.5,,0.25
smollm2_1p7b,arc,informed,120,0.7,,0.44999999999999996
smollm2_1p7b,arc,rushing,120,0.575,0.42500000000000004,0.32499999999999996
smollm2_1p7b,arc,solo,120,0.525,0.475,0.275
smollm2_1p7b,boolq,debate,80,0.6375,,0.13749999999999996
smollm2_1p7b,boolq,honest,80,0.7,,0.19999999999999996
smollm2_1p7b,boolq,informed,80,0.8125,,0.3125
smollm2_1p7b,boolq,rushing,80,0.625,0.375,0.125
smollm2_1p7b,boolq,solo,80,0.5375,0.4625,0.03749999999999998
