model,benchmark,role,share_A,gold_share_A,acc_given_A,acc_given_B,acc_given_C,acc_given_D
gemma3_1b,arc,debate,0.49166666666666664,0.19166666666666668,0.8260869565217391,0.4444444444444444,0.43333333333333335,0.225
gemma3_1b,arc,honest,0.425,0.19166666666666668,0.782608695652174,0.4444444444444444,0.4,0.225
gemma3_1b,arc,informed,0.4666666666666667,0.19166666666666668,0.7391304347826086,0.5185185185185185,0.4666666666666667,0.3
gemma3_1b,arc,rushing,0.2916666666666667,0.19166666666666668,0.13043478260869565,0.48148148148148145,0.23333333333333334,0.05
gemma3_1b,arc,solo,0.325,0.19166666666666668,0.17391304347826086,0.4074074074074074,0.23333333333333334,0.05
gemma3_1b,boolq,debate,0.85,0.5625,0.9555555555555556,0.2857142857142857,,
gemma3_1b,boolq,honest,0.7625,0.5625,0.9333333333333333,0.45714285714285713,,
gemma3_1b,boolq,informed,0.9375,0.5625,1.0,0.14285714285714285,,
gemma3_1b,boolq,rushing,0.1,0.5625,0.15555555555555556,0.9714285714285714,,
gemma3_1b,boolq,solo,0.225,0.5625,0.35555555555555557,0.9428571428571428,,
granite33_2b,arc,debate,0.23333333333333334,0.19166666666666668,0.7391304347826086,0.7037037037037037,0.7666666666666667,0.675
granite33_2b,arc,honest,0.225,0.19166666666666668,0.7391304347826086,0.8518518518518519,0.7666666666666667,0.65
granite33_2b,arc,informed,0.25,0.19166666666666668,0.8695652173913043,0.7777777777777778,0.7666666666666667,0.65
granite33_2b,arc,rushing,0.3333333333333333,0.19166666666666668,0.0,0.1111111111111111,0.23333333333333334,0.025
granite33_2b,arc,solo,0.225,0.19166666666666668,0.043478260869565216,0.25925925925925924,0.16666666666666666,0.175
granite33_2b,boolq,debate,0.45,0.5625,0.7333333333333333,0.9142857142857143,,
granite33_2b,boolq,honest,0.4375,0.5625,0.7111111111111111,0.9142857142857143,,
granite33_2b,boolq,informed,0.4875,0.5625,0.7777777777777778,0.8857142857142857,,
granite33_2b,boolq,rushing,0.0375,0.5625,0.0,0.9142857142857143,,
granite33_2b,boolq,solo,0.025,0.5625,0.0,0.9428571428571428,,
llama32_1b,arc,debate,0.175,0.19166666666666668,0.391304347826087,0.5925925925925926,0.6,0.475
llama32_1b,arc,honest,0.15833333333333333,0.19166666666666668,0.43478260869565216,0.5555555555555556,0.5333333333333333,0.525
llama32_1b,arc,informed,0.2,0.19166666666666668,0.4782608695652174,0.5185185185185185,0.6,0.55
llama32_1b,arc,rushing,0.041666666666666664,0.19166666666666668,0.0,0.5185185185185185,0.5,0.3
llama32_1b,arc,solo,0.09166666666666666,0.19166666666666668,0.21739130434782608,0.3333333333333333,0.7,0.45
llama32_1b,boolq,debate,0.425,0.5625,0.6444444444444445,0.8571428571428571,,
llama32_1b,boolq,honest,0.5,0.5625,0.6222222222222222,0.6571428571428571,,
llama32_1b,boolq,informed,0.65,0.5625,0.8,0.5428571428571428,,
llama32_1b,boolq,rushing,0.0875,0.5625,0.08888888888888889,0.9142857142857143,,
llama32_1b,boolq,solo,0.0875,0.5625,0.1111111111111111,0.9428571428571428,,
olmo2_1b,arc,debate,0.49166666666666664,0.19166666666666668,0.7391304347826086,0.5185185185185185,0.23333333333333334,0.05
olmo2_1b,arc,honest,0.4583333333333333,0.19166666666666668,0.7391304347826086,0.6296296296296297,0.16666666666666666,0.1
olmo2_1b,arc,informed,0.275,0.19166666666666668,0.782608695652174,0.7407407407407407,0.6666666666666666,0.45
olmo2_1b,arc,rushing,0.18333333333333332,0.19166666666666668,0.13043478260869565,0.8518518518518519,0.03333333333333333,0.0
olmo2_1b,arc,solo,0.05,0.19166666666666668,0.0,0.8888888888888888,0.16666666666666666,0.0
olmo2_1b,boolq,debate,0.9,0.5625,0.9777777777777777,0.2,,
olmo2_1b,boolq,honest,0.7125,0.5625,0.8,0.4,,
olmo2_1b,boolq,informed,0.5625,0.5625,0.6888888888888889,0.6,,
olmo2_1b,boolq,rushing,0.3625,0.5625,0.4,0.6857142857142857,,
olmo2_1b,boolq,solo,0.075,0.5625,0.1111111111111111,0.9714285714285714,,
qwen25_1p5b,arc,debate,0.18333333333333332,0.19166666666666668,0.6956521739130435,0.7777777777777778,0.8,0.625
qwen25_1p5b,arc,honest,0.175,0.19166666666666668,0.6956521739130435,0.7777777777777778,0.7666666666666667,0.575
qwen25_1p5b,arc,informed,0.2,0.19166666666666668,0.8260869565217391,0.8518518518518519,0.8,0.625
qwen25_1p5b,arc,rushing,0.225,0.19166666666666668,0.5217391304347826,0.5185185185185185,0.5,0.125
qwen25_1p5b,arc,solo,0.275,0.19166666666666668,0.5217391304347826,0.5925925925925926,0.5333333333333333,0.3
qwen25_1p5b,boolq,debate,0.4125,0.5625,0.6888888888888889,0.9428571428571428,,
qwen25_1p5b,boolq,honest,0.5125,0.5625,0.8222222222222222,0.8857142857142857,,
qwen25_1p5b,boolq,informed,0.5,0.5625,0.8,0.8857142857142857,,
qwen25_1p5b,boolq,rushing,0.125,0.5625,0.2,0.9714285714285714,,
qwen25_1p5b,boolq,solo,0.65,0.5625,0.8222222222222222,0.5714285714285714,,
smollm2_1p7b,arc,debate,0.16666666666666666,0.19166666666666668,0.5217391304347826,0.5925925925925926,0.6,0.6
smollm2_1p7b,arc,honest,0.225,0.19166666666666668,0.5217391304347826,0.6666666666666666,0.5666666666666667,0.325
smollm2_1p7b,arc,informed,0.25,0.19166666666666668,0.8260869565217391,0.7777777777777778,0.6666666666666666,0.6
smollm2_1p7b,arc,rushing,0.18333333333333332,0.19166666666666668,0.5652173913043478,0.5185185185185185,0.7,0.525
smollm2_1p7b,arc,solo,0.3,0.19166666666666668,0.6956521739130435,0.6296296296296297,0.5666666666666667,0.325
smollm2_1p7b,boolq,debate,0.925,0.5625,1.0,0.17142857142857143,,
smollm2_1p7b,boolq,honest,0.8125,0.5625,0.9555555555555556,0.37142857142857144,,
smollm2_1p7b,boolq,informed,0.6,0.5625,0.8666666666666667,0.7428571428571429,,
smollm2_1p7b,boolq,rushing,0.7625,0.5625,0.8444444444444444,0.34285714285714286,,
smollm2_1p7b,boolq,solo,0.525,0.5625,0.5555555555555556,0.5142857142857142,,
