f,prompt,benchmark,Receiver alone,Majority vote,Dawid–Skene (label-free),AIP gated,RACE (ours),Known-channel oracle
0.1,always_wrong,arc,92.94444444444444,96.50000000000001,96.75,96.50000000000001,97.24999999999999,98.25
0.1,always_wrong,boolq,89.80555555555556,92.75,92.75,92.75,92.75,92.75
0.1,always_wrong,gsm8k,93.33333333333333,97.7,97.7,97.67777777777778,97.8,97.8
0.1,always_wrong,math500,70.08333333333333,86.75,84.25,86.86111111111113,91.5,91.5
0.1,always_wrong,medqa,75.44444444444444,85.25,86.5,86.25,88.00000000000001,89.75
0.1,always_wrong,mmlu,81.94444444444444,90.0,90.25000000000001,90.75,90.5,90.99999999999999
0.1,rushing,arc,92.94444444444444,97.0,96.50000000000001,96.94444444444444,97.24999999999999,98.25
0.1,rushing,boolq,89.80555555555556,91.75000000000001,92.75,92.75,93.02777777777777,92.75
0.1,rushing,gsm8k,93.33333333333333,97.1,97.8,97.66666666666667,97.95555555555555,98.0
0.1,rushing,math500,70.08333333333333,86.25,83.24999999999999,87.22222222222221,91.25,91.75000000000001
0.1,rushing,medqa,75.44444444444444,84.74999999999999,86.25,84.80555555555556,87.8888888888889,90.5
0.1,rushing,mmlu,81.94444444444444,90.0,90.5,90.05555555555557,91.25,90.99999999999999
0.1,semantic_hallucination,arc,92.94444444444444,96.50000000000001,96.50000000000001,96.97222222222223,97.24999999999999,98.25
0.1,semantic_hallucination,boolq,89.80555555555556,92.75,92.75,92.75,92.75,92.75
0.1,semantic_hallucination,gsm8k,93.33333333333333,97.7,97.7,97.67777777777778,97.8,97.8
0.1,semantic_hallucination,math500,70.08333333333333,86.75,84.5,86.86111111111113,91.5,91.5
0.1,semantic_hallucination,medqa,75.44444444444444,86.0,86.5,86.88888888888889,88.69444444444443,89.75
0.1,semantic_hallucination,mmlu,81.94444444444444,89.0,90.5,89.30555555555554,91.25,90.99999999999999
0.1,semantic_negation,arc,92.94444444444444,96.0,96.75,96.1111111111111,97.24999999999999,98.25
0.1,semantic_negation,boolq,89.80555555555556,92.0,92.75,92.75,92.75,92.75
0.1,semantic_negation,gsm8k,93.33333333333333,97.7,97.7,97.67777777777778,97.8,97.8
0.1,semantic_negation,math500,70.08333333333333,86.99999999999999,84.74999999999999,86.6388888888889,91.5,91.5
0.1,semantic_negation,medqa,75.44444444444444,85.50000000000001,86.5,86.38888888888889,88.69444444444443,90.5
0.1,semantic_negation,mmlu,81.94444444444444,90.25000000000001,90.5,91.13888888888889,91.25,91.5
0.3,always_wrong,arc,93.0,96.0,97.24999999999999,97.39285714285714,97.0,98.00000000000001
0.3,always_wrong,boolq,89.53571428571429,92.5,92.25,92.5,91.78571428571429,91.25
0.3,always_wrong,gsm8k,93.08571428571429,97.6,97.4,96.8,97.7,97.7
0.3,always_wrong,math500,72.46428571428571,86.5,81.25,85.57142857142857,89.92857142857143,92.0
0.3,always_wrong,medqa,75.60714285714285,82.75,84.00000000000001,81.96428571428571,85.32142857142857,88.25
0.3,always_wrong,mmlu,83.17857142857143,90.75,90.75,88.60714285714286,90.5,91.25
0.3,rushing,arc,93.0,95.0,97.24999999999999,96.50000000000001,96.75,97.75
0.3,rushing,boolq,89.53571428571429,90.25000000000001,92.75,90.99999999999999,91.75000000000001,91.75000000000001
0.3,rushing,gsm8k,93.08571428571429,95.6,97.6,97.45714285714286,97.8,97.8
0.3,rushing,math500,72.46428571428571,84.00000000000001,81.5,76.14285714285714,90.21428571428572,90.5
0.3,rushing,medqa,75.60714285714286,81.25,84.25,79.67857142857142,86.28571428571428,89.0
0.3,rushing,mmlu,83.17857142857143,88.25,90.75,86.0,91.5,91.5
0.3,semantic_hallucination,arc,93.0,96.50000000000001,97.5,97.32142857142858,96.57142857142857,98.00000000000001
0.3,semantic_hallucination,boolq,89.53571428571429,92.0,92.25,92.25,92.21428571428572,92.0
0.3,semantic_hallucination,gsm8k,93.08571428571429,97.3,97.4,97.24285714285715,97.7,97.7
0.3,semantic_hallucination,math500,72.46428571428571,85.25,81.25,81.46428571428572,90.99999999999999,92.25
0.3,semantic_hallucination,medqa,75.60714285714285,83.5,84.74999999999999,81.03571428571428,86.99999999999999,89.25
0.3,semantic_hallucination,mmlu,83.17857142857143,87.75,90.0,90.67857142857143,90.42857142857143,90.25000000000001
0.3,semantic_negation,arc,93.0,95.74999999999999,97.5,96.28571428571429,96.50000000000001,97.75
0.3,semantic_negation,boolq,89.53571428571429,92.25,92.25,92.0,92.07142857142857,91.75000000000001
0.3,semantic_negation,gsm8k,93.08571428571429,97.4,97.4,97.35714285714286,97.7,97.7
0.3,semantic_negation,math500,72.46428571428571,83.75,81.25,83.46428571428571,92.07142857142857,92.25
0.3,semantic_negation,medqa,75.60714285714285,84.5,84.25,83.60714285714286,86.17857142857142,88.25
0.3,semantic_negation,mmlu,83.17857142857143,89.75,91.25,89.82142857142857,90.25000000000001,90.75
0.5,always_wrong,arc,91.89999999999999,86.0,95.0,79.3,95.5,96.0
0.5,always_wrong,boolq,88.2,77.25,89.75,87.85000000000001,90.75,90.99999999999999
0.5,always_wrong,gsm8k,93.38,89.9,96.9,93.86,97.36,97.4
0.5,always_wrong,math500,69.85,70.5,74.5,71.0,85.75,89.25
0.5,always_wrong,medqa,76.35,75.25,84.74999999999999,56.699999999999996,87.25,87.5
0.5,always_wrong,mmlu,82.95,86.5,90.99999999999999,70.55,90.99999999999999,91.75000000000001
0.5,rushing,arc,91.89999999999999,86.75,95.0,93.65,95.19999999999999,96.0
0.5,rushing,boolq,88.2,68.25,92.25,80.80000000000001,91.05000000000001,91.25
0.5,rushing,gsm8k,93.38,83.6,97.6,96.66,97.32,97.4
0.5,rushing,math500,69.85,66.75,75.75,66.85,84.00000000000001,85.25
0.5,rushing,medqa,76.35,67.0,74.75,66.39999999999999,86.75,87.5
0.5,rushing,mmlu,82.95,73.75,91.25,62.85000000000001,90.99999999999999,91.25
0.5,semantic_hallucination,arc,91.89999999999999,74.5,95.74999999999999,91.4,95.25,95.74999999999999
0.5,semantic_hallucination,boolq,88.2,67.0,90.0,87.94999999999999,91.45,91.25
0.5,semantic_hallucination,gsm8k,93.38,90.4,96.8,95.62,97.28,97.2
0.5,semantic_hallucination,math500,69.85,66.25,76.0,75.75,88.85,90.25000000000001
0.5,semantic_hallucination,medqa,76.35,62.75000000000001,72.5,65.14999999999999,87.55000000000001,88.75
0.5,semantic_hallucination,mmlu,82.95,68.0,90.25000000000001,75.25,90.75,91.25
0.5,semantic_negation,arc,91.89999999999999,77.5,95.5,93.05,95.74999999999999,96.50000000000001
0.5,semantic_negation,boolq,88.2,78.49999999999999,90.5,84.00000000000001,91.14999999999999,90.99999999999999
0.5,semantic_negation,gsm8k,93.38,70.5,97.3,97.1,97.42,97.5
0.5,semantic_negation,math500,69.85,48.25000000000001,62.75000000000001,76.4,90.10000000000001,90.5
0.5,semantic_negation,medqa,76.35,67.75,76.0,69.35,86.7,87.25
0.5,semantic_negation,mmlu,82.95,71.75,90.25000000000001,78.35,90.75,91.5
0.7,always_wrong,arc,90.91666666666667,43.49999999999999,32.5,50.416666666666664,93.5,94.25000000000001
0.7,always_wrong,boolq,88.83333333333333,60.25,45.0,59.166666666666664,90.75,90.75
0.7,always_wrong,gsm8k,92.96666666666667,33.1,5.0,91.03333333333333,93.26666666666667,96.6
0.7,always_wrong,math500,68.0,16.499999999999996,5.0,70.33333333333334,74.16666666666667,78.0
0.7,always_wrong,medqa,79.41666666666667,45.0,32.5,46.75,83.16666666666667,85.0
0.7,always_wrong,mmlu,84.08333333333333,54.0,40.0,38.5,90.16666666666667,90.25000000000001
0.7,rushing,arc,90.91666666666667,28.749999999999996,27.500000000000004,68.58333333333333,94.16666666666667,94.5
0.7,rushing,boolq,88.83333333333333,44.25,42.5,44.74999999999999,92.0,92.0
0.7,rushing,gsm8k,92.96666666666667,21.0,20.0,96.26666666666667,97.1,97.2
0.7,rushing,math500,68.0,26.749999999999996,22.5,65.99999999999999,72.91666666666667,76.25
0.7,rushing,medqa,79.41666666666667,37.75,37.5,51.916666666666664,84.25,86.25
0.7,rushing,mmlu,84.08333333333333,35.25,33.75,56.75,89.0,89.49999999999999
0.7,semantic_hallucination,arc,90.91666666666667,22.5,21.25,73.66666666666666,93.5,94.25000000000001
0.7,semantic_hallucination,boolq,88.83333333333333,58.25,46.25,57.666666666666664,90.75,90.75
0.7,semantic_hallucination,gsm8k,92.96666666666667,7.5,5.5,92.86666666666667,96.9,96.9
0.7,semantic_hallucination,math500,68.0,12.5,8.75,73.83333333333333,77.75000000000001,81.75000000000001
0.7,semantic_hallucination,medqa,79.41666666666667,30.5,23.75,59.166666666666664,83.75,85.50000000000001
0.7,semantic_hallucination,mmlu,84.08333333333333,29.75,22.5,63.83333333333333,88.08333333333334,89.25
0.7,semantic_negation,arc,90.91666666666667,27.250000000000004,26.25,68.16666666666666,95.0,95.0
0.7,semantic_negation,boolq,88.83333333333333,64.5,50.0,63.25000000000001,90.66666666666666,90.75
0.7,semantic_negation,gsm8k,92.96666666666667,1.0,0.5,93.5,97.3,97.4
0.7,semantic_negation,math500,68.0,5.0,5.0,74.58333333333333,76.58333333333334,82.5
0.7,semantic_negation,medqa,79.41666666666667,48.75,43.75,45.33333333333333,82.75,84.5
0.7,semantic_negation,mmlu,84.08333333333333,35.25,35.75000000000001,58.24999999999999,89.91666666666667,90.25000000000001
