model,benchmark,role,share_A,gold_share_A,acc_given_A,acc_given_B,acc_given_C,acc_given_D
gemma3_1b,boolq,debate,0.85,0.4583333333333333,0.9818181818181818,0.26153846153846155,,
gemma3_1b,boolq,honest,0.7666666666666667,0.4583333333333333,0.9818181818181818,0.4153846153846154,,
gemma3_1b,boolq,rushing,0.09166666666666666,0.4583333333333333,0.14545454545454545,0.9538461538461539,,
gemma3_1b,boolq,solo,0.23333333333333334,0.4583333333333333,0.4,0.9076923076923077,,
gemma3_1b,mmlu,debate,0.6083333333333333,0.2,0.625,0.20833333333333334,0.2222222222222222,0.2222222222222222
gemma3_1b,mmlu,honest,0.5416666666666666,0.2,0.625,0.2916666666666667,0.2222222222222222,0.25
gemma3_1b,mmlu,rushing,0.175,0.2,0.041666666666666664,0.3333333333333333,0.027777777777777776,0.027777777777777776
gemma3_1b,mmlu,solo,0.2833333333333333,0.2,0.125,0.2916666666666667,0.027777777777777776,0.05555555555555555
granite33_2b,boolq,debate,0.48333333333333334,0.4583333333333333,0.8181818181818182,0.8,,
granite33_2b,boolq,honest,0.48333333333333334,0.4583333333333333,0.8727272727272727,0.8461538461538461,,
granite33_2b,boolq,rushing,0.025,0.4583333333333333,0.0,0.9538461538461539,,
granite33_2b,boolq,solo,0.016666666666666666,0.4583333333333333,0.0,0.9692307692307692,,
granite33_2b,mmlu,debate,0.2916666666666667,0.2,0.6666666666666666,0.5,0.3611111111111111,0.6944444444444444
granite33_2b,mmlu,honest,0.275,0.2,0.7083333333333334,0.5,0.3888888888888889,0.6111111111111112
granite33_2b,mmlu,rushing,0.25,0.2,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.1388888888888889
granite33_2b,mmlu,solo,0.175,0.2,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.3055555555555556
llama32_1b,boolq,debate,0.425,0.4583333333333333,0.6363636363636364,0.7538461538461538,,
llama32_1b,boolq,honest,0.4666666666666667,0.4583333333333333,0.6727272727272727,0.7076923076923077,,
llama32_1b,boolq,rushing,0.11666666666666667,0.4583333333333333,0.14545454545454545,0.9076923076923077,,
llama32_1b,boolq,solo,0.075,0.4583333333333333,0.10909090909090909,0.9538461538461539,,
llama32_1b,mmlu,debate,0.10833333333333334,0.2,0.3333333333333333,0.625,0.5277777777777778,0.3888888888888889
llama32_1b,mmlu,honest,0.20833333333333334,0.2,0.5833333333333334,0.4583333333333333,0.5277777777777778,0.4166666666666667
llama32_1b,mmlu,rushing,0.03333333333333333,0.2,0.0,0.4583333333333333,0.4166666666666667,0.3888888888888889
llama32_1b,mmlu,solo,0.1,0.2,0.25,0.5,0.5277777777777778,0.4444444444444444
olmo2_1b,boolq,debate,0.825,0.4583333333333333,0.8727272727272727,0.2153846153846154,,
olmo2_1b,boolq,honest,0.7166666666666667,0.4583333333333333,0.7272727272727273,0.2923076923076923,,
olmo2_1b,boolq,rushing,0.275,0.4583333333333333,0.32727272727272727,0.7692307692307693,,
olmo2_1b,boolq,solo,0.058333333333333334,0.4583333333333333,0.05454545454545454,0.9384615384615385,,
olmo2_1b,mmlu,debate,0.425,0.2,0.7083333333333334,0.5833333333333334,0.2777777777777778,0.2222222222222222
olmo2_1b,mmlu,honest,0.35,0.2,0.4583333333333333,0.6666666666666666,0.2222222222222222,0.25
olmo2_1b,mmlu,rushing,0.125,0.2,0.16666666666666666,0.7916666666666666,0.05555555555555555,0.027777777777777776
olmo2_1b,mmlu,solo,0.008333333333333333,0.2,0.0,0.9583333333333334,0.05555555555555555,0.027777777777777776
qwen25_1p5b,boolq,debate,0.35,0.4583333333333333,0.6909090909090909,0.9384615384615385,,
qwen25_1p5b,boolq,honest,0.48333333333333334,0.4583333333333333,0.8181818181818182,0.8,,
qwen25_1p5b,boolq,rushing,0.11666666666666667,0.4583333333333333,0.21818181818181817,0.9692307692307692,,
qwen25_1p5b,boolq,solo,0.6416666666666667,0.4583333333333333,0.8,0.49230769230769234,,
qwen25_1p5b,mmlu,debate,0.15833333333333333,0.2,0.5,0.5833333333333334,0.5555555555555556,0.5555555555555556
qwen25_1p5b,mmlu,honest,0.14166666666666666,0.2,0.4583333333333333,0.5833333333333334,0.7777777777777778,0.5555555555555556
qwen25_1p5b,mmlu,rushing,0.16666666666666666,0.2,0.25,0.5416666666666666,0.2222222222222222,0.16666666666666666
qwen25_1p5b,mmlu,solo,0.2833333333333333,0.2,0.4166666666666667,0.3333333333333333,0.2777777777777778,0.5277777777777778
smollm2_1p7b,boolq,debate,0.95,0.4583333333333333,0.9818181818181818,0.07692307692307693,,
smollm2_1p7b,boolq,honest,0.8916666666666667,0.4583333333333333,0.9636363636363636,0.16923076923076924,,
smollm2_1p7b,boolq,rushing,0.75,0.4583333333333333,0.8727272727272727,0.35384615384615387,,
smollm2_1p7b,boolq,solo,0.525,0.4583333333333333,0.6181818181818182,0.5538461538461539,,
smollm2_1p7b,mmlu,debate,0.2,0.2,0.5,0.4583333333333333,0.5833333333333334,0.3611111111111111
smollm2_1p7b,mmlu,honest,0.25,0.2,0.5416666666666666,0.5,0.5555555555555556,0.19444444444444445
smollm2_1p7b,mmlu,rushing,0.13333333333333333,0.2,0.4166666666666667,0.5416666666666666,0.6111111111111112,0.3055555555555556
smollm2_1p7b,mmlu,solo,0.24166666666666667,0.2,0.5416666666666666,0.5416666666666666,0.3611111111111111,0.2777777777777778
