benchmark,model,task_id,favoured,favoured_right,own_right,debate_right,informed_right,informed_follows,debate_matches,favoured_differs_from_own
arc,qwen25_1p5b,arc-test-LEAP_2002_4_10247,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-LEAP__5_10312,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-LEAP__7_10339,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_1998_8_24,B,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_1998_8_26,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_2000_4_30,A,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_2000_8_22,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_2004_8_7,A,False,False,False,False,True,False,True
arc,qwen25_1p5b,arc-test-MCAS_2005_5_24,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_2006_8_13,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_2006_9_1,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_2009_5_6519,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_2011_8_15365,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_2012_5_23625,B,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_2013_8_29416,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MCAS_2014_5_13,A,False,True,True,True,False,False,True
arc,qwen25_1p5b,arc-test-MDSA_2007_5_16,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MDSA_2008_8_20,D,False,False,True,False,True,False,False
arc,qwen25_1p5b,arc-test-MDSA_2009_5_25,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MDSA_2011_5_3,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MDSA_2012_8_6,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MEAP_2005_5_14,B,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-MEAP_2005_5_15,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MEAP_2005_8_13,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MEAP_2005_8_45,A,False,True,True,True,False,False,True
arc,qwen25_1p5b,arc-test-MEA_2010_8_18,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MEA_2013_5_12,B,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-MEA_2013_5_15,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MEA_2013_8_1,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MEA_2014_5_11,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MEA_2016_8_12,B,True,False,False,True,True,False,True
arc,qwen25_1p5b,arc-test-MSA_2012_5_12,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-MSA_2013_5_11,A,False,False,False,True,False,False,True
arc,qwen25_1p5b,arc-test-Mercury_176855,B,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_184730,C,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_184975,B,False,True,True,True,False,False,True
arc,qwen25_1p5b,arc-test-Mercury_185010,A,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_192220,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_400443,A,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_400780,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_400828,C,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_400887,B,True,True,False,True,True,False,False
arc,qwen25_1p5b,arc-test-Mercury_401433,C,False,False,True,False,True,False,False
arc,qwen25_1p5b,arc-test-Mercury_401502,C,False,False,True,False,True,False,False
arc,qwen25_1p5b,arc-test-Mercury_401699,C,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_401926,D,True,True,True,True,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_402364,C,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_403232,B,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_403930,B,False,False,False,False,True,True,False
arc,qwen25_1p5b,arc-test-Mercury_404097,C,True,False,False,True,True,False,True
arc,qwen25_1p5b,arc-test-Mercury_404894,A,True,True,True,True,True,True,False
